MeSH_Compound:D013015	-drug_participates_in_pathway->	Reactome_Pathway:R-HSA-390696
MeSH_Disease:D000787	-is-	MeSH_Tree_Disease:C14.907.585.187
MeSH_Disease:D000787	-is-	MeSH_Tree_Disease:C23.888.592.612.233.500
MeSH_Disease:D000787	-is-	MeSH_Tree_Disease:C14.280.647.187
Entrez:26191	-may_participate_in->	Reactome_Pathway:R-HSA-202430
Entrez:26191	-may_participate_in->	Reactome_Pathway:R-HSA-202427
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-6785807
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-5620971
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-9020702
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-6783783
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-448706
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-9660826
Entrez:3553	-may_participate_in->	Reactome_Pathway:R-HSA-5660668
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C12.900.418.685.350
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C19.344.410.199
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C19.391.630.705.350
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C04.557.470.200.295
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C12.050.351.500.056.630.705.350
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C04.588.322.455.199
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C12.100.250.056.630.705.350
MeSH_Disease:D000077216	-is-	MeSH_Tree_Disease:C12.050.351.937.418.685.350
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-5083625
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-5083632
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-5083636
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-5621480
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-977068
Entrez:94025	-may_participate_in->	Reactome_Pathway:R-HSA-913709
UniProt:Q71DI3	-may_participate_in->	Reactome_Pathway:R-HSA-3214815
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
UniProt:Q71DI3	located_in	cellular_component:0005654
